sh_code;sh_level;kingdom;phylum;class;order;family;genus;species;lowest_taxon;lowest_taxon_level
SH1019576.10FU;1,5;unspecified;unspecified;unspecified;unspecified;unspecified;unspecified;unspecified;unspecified;species
SH1020035.10FU;1,5;Fungi;Rozellomycota;Rozellomycota_cls_unspecified;Rozellomycota_ord_unspecified;Rozellomycota_fam_unspecified;Rozellomycota_gen_unspecified;Rozellomycota_sp;Rozellomycota_gen_unspecified;genus
SH1022224.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Acrodontium;Acrodontium_simplex;Acrodontium_simplex;species
SH1037401.10FU;1,5;Fungi;Ascomycota;Ascomycota_cls_unspecified;Ascomycota_ord_unspecified;Ascomycota_fam_unspecified;Ascomycota_gen_unspecified;Ascomycota_sp;Ascomycota_gen_unspecified;genus
SH0731555.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_unspecified;Hypocreales_gen_unspecified;Hypocreales_sp;Hypocreales_gen_unspecified;genus
SH0748239.10FU;1,5;Fungi;Ascomycota;Ascomycota_cls_unspecified;Ascomycota_ord_unspecified;Ascomycota_fam_unspecified;Ascomycota_gen_unspecified;Ascomycota_sp;Ascomycota_gen_unspecified;genus
SH0839823.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Herpotrichiellaceae_gen_unspecified;Herpotrichiellaceae_sp;Herpotrichiellaceae_gen_unspecified;genus
SH0844886.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylaria;Xylaria_carpophila;Xylaria_carpophila;species
SH0875597.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Malbranchea;Malbranchea_californiensis;Malbranchea_californiensis;species
SH0878735.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Pleotrichocladium;Pleotrichocladium_opacum;Pleotrichocladium_opacum;species
SH0925537.10FU;1,5;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Pilocarpaceae;Micarea;Micarea_sp;Micarea;genus
SH0931263.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Claussenomyces;Claussenomyces_sp;Claussenomyces;genus
SH0938613.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Chaetothyriales_fam_unspecified;Chaetothyriales_gen_unspecified;Chaetothyriales_sp;Chaetothyriales_gen_unspecified;genus
SH0945307.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_ord_unspecified;Leotiomycetes_fam_unspecified;Leotiomycetes_gen_unspecified;Leotiomycetes_sp;Leotiomycetes_gen_unspecified;genus
SH0945337.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_unspecified;Helotiales_gen_unspecified;Helotiales_sp;Helotiales_gen_unspecified;genus
SH0959282.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_sp;Cladophialophora;genus
SH0959331.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_sp;Cladophialophora;genus
SH0982441.10FU;1,5;Fungi;Fungi_phy_unspecified;Fungi_cls_unspecified;Fungi_ord_unspecified;Fungi_fam_unspecified;Fungi_gen_unspecified;Fungi_sp;Fungi_gen_unspecified;genus
SH0982600.10FU;1,5;Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_fam_unspecified;Tremellales_gen_unspecified;Tremellales_sp;Tremellales_gen_unspecified;genus
SH0982712.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Cyphellophoraceae;Anthopsis;Anthopsis_catenata;Anthopsis_catenata;species
SH0984794.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholomataceae_gen_unspecified;Tricholomataceae_sp;Tricholomataceae_gen_unspecified;genus
SH1023327.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Arachnopezizaceae;Arachnopeziza;Arachnopeziza_sp;Arachnopeziza;genus
SH0750250.10FU;1,5;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbiliaceae_gen_unspecified;Orbiliaceae_sp;Orbiliaceae_gen_unspecified;genus
SH0828331.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Herpotrichiellaceae_gen_unspecified;Herpotrichiellaceae_sp;Herpotrichiellaceae_gen_unspecified;genus
SH0843143.10FU;1,5;Fungi;Ascomycota;Lecanoromycetes;Graphidales;Gomphillaceae;Jamesiella;Jamesiella_anastomosans;Jamesiella_anastomosans;species
SH0857527.10FU;1,5;Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium_wieringae;Filobasidium_wieringae;species
SH0859433.10FU;1,5;Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;Spizellomycetales_fam_unspecified;Spizellomycetales_gen_unspecified;Spizellomycetales_sp;Spizellomycetales_gen_unspecified;genus
SH0872823.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Pezicula;Pezicula_neocinnamomea;Pezicula_neocinnamomea;species
SH0909898.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_fam_unspecified;Pleosporales_gen_unspecified;Pleosporales_sp;Pleosporales_gen_unspecified;genus
SH0934686.10FU;1,5;Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium;Exobasidium_arescens;Exobasidium_arescens;species
SH0946162.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Oidiodendron_sp;Oidiodendron;genus
SH0947947.10FU;1,5;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Lecophagus;Lecophagus_sp;Lecophagus;genus
SH0976195.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_sp;Cladophialophora;genus
SH1020060.10FU;1,5;Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_fam_unspecified;Tremellales_gen_unspecified;Tremellales_sp;Tremellales_gen_unspecified;genus
SH0763742.10FU;1,5;Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium;Exobasidium_bisporum;Exobasidium_bisporum;species
SH0859831.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypocreaceae_gen_unspecified;Hypocreaceae_sp;Hypocreaceae_gen_unspecified;genus
SH0876989.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Cephalothecales;Cephalothecaceae;Phialemonium;Phialemonium_sp;Phialemonium;genus
SH0904604.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Minimelanolocus;Minimelanolocus_sp;Minimelanolocus;genus
SH0934697.10FU;1,5;Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium;Exobasidium_japonicum;Exobasidium_japonicum;species
SH0934703.10FU;1,5;Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium;Exobasidium_sp;Exobasidium;genus
SH0943420.10FU;1,5;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbiliaceae_gen_unspecified;Orbiliaceae_sp;Orbiliaceae_gen_unspecified;genus
SH0946049.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Oidiodendron_truncatum;Oidiodendron_truncatum;species
SH0951687.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Atractosporales;Atractosporaceae;Atractospora;Atractospora_sp;Atractospora;genus
SH0960617.10FU;1,5;Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_bainieri;Mortierella_bainieri;species
SH0964656.10FU;1,5;Fungi;Fungi_phy_unspecified;Fungi_cls_unspecified;Fungi_ord_unspecified;Fungi_fam_unspecified;Fungi_gen_unspecified;Fungi_sp;Fungi_gen_unspecified;genus
